Date,"Apple Inc."
2018-08-01,14846
2018-08-02,38123
2018-08-03,40853
2018-08-04,22114
2018-08-05,17306
2018-08-06,16581
2018-08-07,15831
2018-08-08,14915
2018-08-09,13810
2018-08-10,12369
2018-08-11,10603
2018-08-12,10930
2018-08-13,12427
2018-08-14,12661
2018-08-15,12066
2018-08-16,12796
2018-08-17,11901
2018-08-18,10333
2018-08-19,11341
2018-08-20,12528
2018-08-21,11553
2018-08-22,15443
2018-08-23,11796
2018-08-24,11544
2018-08-25,9837
2018-08-26,10523
2018-08-27,12052
2018-08-28,12847
2018-08-29,12523
2018-08-30,12499
2018-08-31,11624
2018-09-01,9842
2018-09-02,10352
2018-09-03,11413
2018-09-04,19070
2018-09-05,14835
2018-09-06,15039
2018-09-07,12118
2018-09-08,10912
2018-09-09,13755
2018-09-10,15339
2018-09-11,16050
2018-09-12,25778
2018-09-13,25450
2018-09-14,17034
2018-09-15,13476
2018-09-16,14004
2018-09-17,18247
2018-09-18,17606
2018-09-19,16921
2018-09-20,17844
2018-09-21,16218
2018-09-22,14790
2018-09-23,13848
2018-09-24,15715
2018-09-25,33805
2018-09-26,20366
2018-09-27,26320
2018-09-28,32635
2018-09-29,11979
2018-09-30,13312
2018-10-01,15994
2018-10-02,16234
2018-10-03,14086
2018-10-04,14576
2018-10-05,13847
2018-10-06,11258
2018-10-07,11467
2018-10-08,13679
2018-10-09,15132
2018-10-10,13986
2018-10-11,15104
2018-10-12,13552
2018-10-13,12183
2018-10-14,11685
2018-10-15,14223
2018-10-16,16541
2018-10-17,14897
2018-10-18,13712
2018-10-19,13812
2018-10-20,10593
2018-10-21,11152
2018-10-22,14792
2018-10-23,16751
2018-10-24,15267
2018-10-25,15854
2018-10-26,12854
2018-10-27,10784
2018-10-28,12273
2018-10-29,14722
2018-10-30,17066
2018-10-31,15880
2018-11-01,15239
2018-11-02,15340
2018-11-03,12236
2018-11-04,13199
2018-11-05,14879
2018-11-06,14986
2018-11-07,15877
2018-11-08,17679
2018-11-09,14376
2018-11-10,11237
2018-11-11,13098
2018-11-12,15953
2018-11-13,17073
2018-11-14,16079
2018-11-15,17023
2018-11-16,14394
2018-11-17,11584
2018-11-18,12215
2018-11-19,14679
2018-11-20,18539
2018-11-21,14976
2018-11-22,14146
2018-11-23,12575
2018-11-24,10990
2018-11-25,13067
2018-11-26,15663
2018-11-27,16692
2018-11-28,16014
2018-11-29,17753
2018-11-30,14097
2018-12-01,11878
2018-12-02,12674
2018-12-03,14565
2018-12-04,16162
2018-12-05,16200
2018-12-06,15741
2018-12-07,12903
2018-12-08,11255
2018-12-09,11586
2018-12-10,13024
2018-12-11,13519
2018-12-12,12559
2018-12-13,13616
2018-12-14,13290
2018-12-15,10705
2018-12-16,10781
2018-12-17,12341
2018-12-18,13301
2018-12-19,11656
2018-12-20,10376
2018-12-21,9666
2018-12-22,7817
2018-12-23,8817
2018-12-24,9193
2018-12-25,8623
2018-12-26,10379
2018-12-27,10031
2018-12-28,9737
2018-12-29,9890
2018-12-30,9293
2018-12-31,8725
2019-01-01,8791
2019-01-02,11699
2019-01-03,17052
2019-01-04,16130
2019-01-05,12366
2019-01-06,11547
2019-01-07,13264
2019-01-08,14768
2019-01-09,14665
2019-01-10,13839
2019-01-11,12805
2019-01-12,10439
2019-01-13,11103
2019-01-14,12748
2019-01-15,12707
2019-01-16,12761
2019-01-17,13176
2019-01-18,12619
2019-01-19,10565
2019-01-20,10648
2019-01-21,11932
2019-01-22,14589
2019-01-23,14608
2019-01-24,13235
2019-01-25,12058
2019-01-26,8970
2019-01-27,10685
2019-01-28,13157
2019-01-29,14769
2019-01-30,14327
2019-01-31,12875
2019-02-01,10812
2019-02-02,9542
2019-02-03,10253
2019-02-04,12431
2019-02-05,13304
2019-02-06,13671
2019-02-07,12681
2019-02-08,11645
2019-02-09,9160
2019-02-10,9407
2019-02-11,11853
2019-02-12,12208
2019-02-13,11716
2019-02-14,12333
2019-02-15,10315
2019-02-16,9555
2019-02-17,9876
2019-02-18,11299
2019-02-19,12374
2019-02-20,12593
2019-02-21,12570
2019-02-22,11620
2019-02-23,10039
2019-02-24,11383
2019-02-25,12834
2019-02-26,12129
2019-02-27,10871
2019-02-28,10487
2019-03-01,9692
2019-03-02,8269
2019-03-03,9530
2019-03-04,11118
2019-03-05,11788
2019-03-06,11890
2019-03-07,12976
2019-03-08,11777
2019-03-09,9277
2019-03-10,10731
2019-03-11,12514
2019-03-12,13756
2019-03-13,13332
2019-03-14,12742
2019-03-15,10583
2019-03-16,10062
2019-03-17,10516
2019-03-18,12121
2019-03-19,12254
2019-03-20,12432
2019-03-21,11954
2019-03-22,10357
2019-03-23,9388
2019-03-24,10711
2019-03-25,15440
2019-03-26,14769
2019-03-27,13705
2019-03-28,12958
2019-03-29,12738
2019-03-30,9841
2019-03-31,10245
2019-04-01,14709
2019-04-02,12694
2019-04-03,12702
2019-04-04,11756
2019-04-05,10551
2019-04-06,9234
2019-04-07,9396
2019-04-08,11669
2019-04-09,11967
2019-04-10,10870
2019-04-11,10449
2019-04-12,9864
2019-04-13,8272
2019-04-14,8514
2019-04-15,10293
2019-04-16,10194
2019-04-17,11019
2019-04-18,9794
2019-04-19,8713
2019-04-20,7876
2019-04-21,7964
2019-04-22,9766
2019-04-23,10204
2019-04-24,11134
2019-04-25,10773
2019-04-26,9158
